ID,Input1_Expression_1,Input2_Expression_2,Input3,Input4,PE_bin0_Expression_1,PE_bin0_Expression_2,PE_bin1_Expression_1,PE_bin1_Expression_2,PE_bin2_Expression_1,PE_bin2_Expression_2,bin_0_1,bin_0_2,bin_1_1,bin_1_2,bin_2_1,bin_2_2,concentration,class,Input1_Expression_1_freq,Input2_Expression_2_freq,PE_bin0_Expression_1_freq,PE_bin1_Expression_1_freq,PE_bin2_Expression_1_freq,PE_bin0_Expression_2_freq,PE_bin1_Expression_2_freq,PE_bin2_Expression_2_freq,avg_input_freq,Exp_weight_1,Exp_score_1,Exp_weight_2,Exp_score_2,Exp_score
MN281749.1,2407.0,1900.0,3259.0,1759.0,8267.0,3502.0,3280.0,5987.0,3732.0,3411.0,4458.0,3644.0,1222.0,63.0,157.0,54.0,A,others,0.0003669603416144762,0.0005295993376247316,0.002202668404362818,0.0008719459303166112,0.0008423860307889499,0.001281157115651951,0.00120265306712684,0.0008368291141972523,0.00044827983961960387,-0.4174379658387044,0.8664227126036912,-0.18496561167168746,1.266041941078497,1.066232326841094
MN288045.1,1464.0,898.0,1416.0,1083.0,205.0,33.0,2508.0,1856.0,1449.0,1371.0,1686.0,2124.0,836.0,225.0,142.0,18.0,A,others,0.0002232545267712656,0.0002504522906494654,5.488022391131356e-05,0.0006667821820068204,0.0003272059321307199,1.2434867808211914e-05,0.0003729670583925421,0.00033649752188705457,0.0002368534087103655,0.7754052940560632,1.5765107620422563,1.4323406974789972,2.6412187329562045,2.10886474749923
70-5B03_1,2370.0,1580.0,1948.0,1605.0,1739.0,936.0,3033.0,1673.0,1995.0,3267.0,1962.0,3429.0,810.0,36.0,32.0,28.0,A,influenza,0.0003613218313820278,0.00044045058010768053,0.0004635514058528427,0.0008063041611035045,0.00045041589002270133,0.00034269032753807537,0.0003362126309903691,0.0008015115900341795,0.00040088620574485413,-0.012484199141005743,1.1074877711701758,0.36900796012311915,1.737079242383453,1.4222835067768145
FJ873895.1,2773.0,1235.0,983.0,839.0,164.0,19.0,864.0,547.0,1731.0,1621.0,18.0,645.0,258.0,100.0,18.0,2254.0,A,others,0.00042273587526518144,0.0003443370759096098,4.395746089983853e-05,0.0002298790703212035,0.00039084184444855644,7.3146281224775965e-06,0.00011006243834093327,0.0003978126680035004,0.0003835364755873956,0.9489684556576632,1.6798312325682359,1.7354863573616754,2.8989799706824284,2.289405601625332
CR9114_Y7_,2339.0,814.0,1175.0,918.0,6107.0,3200.0,2785.0,3742.0,70.0,45.0,2180.0,1606.0,574.0,29.0,50.0,25.0,A,nonsense,0.0003565976741602468,0.0002270507418012395,0.001627225279855841,0.0007403966357397376,1.6021807711228353e-05,0.0011707062310025392,0.000751758588887068,1.1281986885426028e-05,0.00029182420798074313,-2.006736167475067,-0.07967112714835117,-2.0160623393120387,-0.29091836340246213,-0.18529474527540665
L04335.1,5261.0,10800.0,26954.0,8200.0,10754.0,10774.0,105952.0,138807.0,659.0,2232.0,23504.0,37098.0,1489.0,500.0,551.0,269.0,A,others,0.0008018875903552216,0.0030090491560677154,0.002865227224107657,0.028157661430916157,0.00014893511393536217,0.003940755900984805,0.027878735294212163,0.0005476668851120939,0.0019054683732114685,-1.284161966991371,0.35047030202932894,-0.8570630526108117,0.6945652842260015,0.5225177931276652
315-02-04_1E10,1594.0,1850.0,2931.0,1976.0,8983.0,5074.0,8271.0,7986.0,3427.0,3125.0,3499.0,6360.0,987.0,102.0,109.0,121.0,A,influenza,0.0002430655086690571,0.0005156698442626924,0.0023934171437827233,0.0021983348782624226,0.0007735599554097296,0.00185608688607869,0.0016041399544325437,0.0007666845870400383,0.0003793676764658747,-0.49052441781199907,0.8229150550035798,-0.3839815697515629,1.0968209807593146,0.9598680178814472
310-18A8,1645.0,3634.0,8476.0,5964.0,23455.0,268.0,9928.0,9587.0,346.0,563.0,172.0,353.0,4.0,44.0,30.0,106.0,A,influenza,0.0002508375092597291,0.0010126741674202522,0.00624888607797947,0.0026386928199066237,7.830376444783435e-05,9.838174824732367e-05,0.001925690983235161,0.00013832696963870172,0.0006317558383399906,-1.9020199659799184,-0.017334585739829902,0.14799232713145377,1.5491522137107527,0.7659088139854614
MW176514.1,1826.0,1008.0,1162.0,823.0,10415.0,7592.0,9378.0,8213.0,105.0,89.0,2421.0,2131.0,179.0,34.0,43.0,31.0,A,others,0.00027842049174819266,0.00028109717604595175,0.002774914622622534,0.002492526937043431,2.3919881935073317e-05,0.0027769985666986196,0.0016497315119204852,2.2073452601920488e-05,0.00027975883389707223,-2.0644905937691047,-0.11405177823003204,-2.0997053872880724,-0.3620390767316268,-0.2380454274808294
MN283039.1,1145.0,1560.0,1952.0,1529.0,28.0,21.0,1201.0,2062.0,2718.0,1308.0,2344.0,2557.0,501.0,19.0,33.0,24.0,A,others,0.0001746414250374542,0.00043487878276286487,7.725856764214045e-06,0.00031943889309374177,0.0006135675375609844,8.046090934725355e-06,0.0004143408947031849,0.0003210461050657102,0.00030476010390015953,1.8999157218787857,2.2459209378070146,1.600982468879069,2.784612874720427,2.5152669062637205
