,ID,K_bin0_Expression_1,K_bin0_Expression_2,K_bin0_binding_1,K_bin0_binding_2,K_bin1_Expression_1,K_bin1_Expression_2,K_bin1_binding_1,K_bin1_binding_2,K_input_Binding_1,K_input_Binding_2,K_input_Expression_1,K_input_Expression_2,concentration
188,TF2.10,21.0,,,106.0,30.0,304.0,1.0,87.0,390.0,429.0,451.0,386.0,A
189,AY393001.1,,,,8.0,,,,6.0,4.0,4.0,2.0,4.0,A
190,MN283752.1,,,,2.0,,,,1.0,,,,,A
191,EU099115.1,,,,1.0,,,,1.0,,,,,A
192,AB067013.1,,,,1.0,,,,4.0,1.0,,,1.0,A
193,034-10_4C01,,,,1.0,,,,3.0,,,,,A
194,321.5.PB.5.7C11_1,,,,4.0,,,,6.0,2.0,4.0,3.0,2.0,A
195,KP278498.1,,,,5.0,,,,6.0,7.0,4.0,1.0,2.0,A
196,MK269579.1,,,,3.0,,,,6.0,,1.0,1.0,,A
197,125a08,66.0,20.0,39.0,77.0,79.0,288.0,17.0,172.0,655.0,979.0,915.0,864.0,A
198,MN292116.1,,,,4.0,,,,10.0,,,2.0,3.0,A
199,MT566140.1,,,,,,,,2.0,,,1.0,,A
200,MN281769.1,,,,5.0,,,,3.0,1.0,1.0,1.0,2.0,A
201,MN283038.1,,,,1.0,,,,3.0,4.0,4.0,3.0,5.0,A
202,VL6,65.0,1.0,42.0,28.0,37.0,75.0,,42.0,240.0,265.0,380.0,295.0,A
203,MT565998.1,,,,6.0,,,,4.0,4.0,3.0,2.0,1.0,A
204,MT462522.1,,,,16.0,,,,17.0,5.0,5.0,,2.0,A
205,AY050692.1,,,,6.0,,,,7.0,3.0,5.0,3.0,3.0,A
206,MT151527.1,,,,4.0,,,,8.0,,1.0,2.0,,A
207,MW457986.1,,,,4.0,,,,13.0,2.0,2.0,,1.0,A
208,310-18A8,,,,23.0,,,,30.0,6.0,1.0,2.0,2.0,A
209,20A-623-30_1C10,,,,9.0,,,,15.0,7.0,6.0,1.0,3.0,A
210,16.n.01_Heavy_1,,,,8.0,,,,15.0,5.0,3.0,3.0,3.0,A
211,MW457959.1,,,,11.0,1.0,,,16.0,4.0,4.0,3.0,5.0,A
212,125b07,243.0,3.0,28.0,52.0,376.0,599.0,2.0,122.0,1359.0,1750.0,1973.0,1432.0,A
213,KX986513.1,,,,9.0,,,,7.0,6.0,3.0,4.0,4.0,A
214,MN284424.1,,,,3.0,,,,6.0,1.0,,,,A
215,315-54-05M_1D04,,,,6.0,,,,9.0,7.0,2.0,2.0,4.0,A
216,321.11.PB.6.4H03,490.0,255.0,439.0,337.0,477.0,1837.0,6.0,167.0,2887.0,3517.0,3954.0,3344.0,A
217,CQTS215,79.0,221.0,71.0,,99.0,78.0,73.0,79.0,511.0,374.0,586.0,588.0,A
218,MW602762.1,,,,7.0,,,,15.0,5.0,10.0,1.0,6.0,A
219,MT565810.1,,,,4.0,,,,12.0,,2.0,1.0,2.0,A
220,MN281957.1,,,,3.0,,,,5.0,,,,,A
221,CR9114_G11T,,,,4.0,,,,6.0,5.0,5.0,4.0,4.0,A
222,321.5.PB.5.5D09,203.0,14.0,497.0,183.0,42.0,1303.0,12.0,4.0,1629.0,2069.0,2084.0,1703.0,A
223,MG524363.1,,,,17.0,,,,22.0,3.0,6.0,1.0,1.0,A
224,CR9114_G11Q,,,,6.0,,,,13.0,17.0,15.0,11.0,7.0,A
225,ADI-14581,,,37.0,14.0,14.0,103.0,,13.0,167.0,129.0,279.0,139.0,A
226,MW176347.1,,,,7.0,,,,3.0,1.0,2.0,1.0,1.0,A
227,EF441761.1,,,,3.0,,,,6.0,1.0,1.0,1.0,1.0,A
228,MN282235.1,,,,2.0,,,,5.0,,,,,A
229,MK269772.1,,,,1.0,,,,1.0,,,,,A
230,MW602794.1,,,,9.0,,,,17.0,4.0,3.0,1.0,,A
231,MW679388.1,,,1.0,8.0,,1.0,,10.0,4.0,2.0,2.0,1.0,A
232,JN111163.1,,,,5.0,,,,5.0,,,1.0,1.0,A
233,CR9114_N5C,,,,7.0,,,,5.0,,4.0,,,A
234,ADI-19430,69.0,,61.0,,17.0,348.0,22.0,52.0,309.0,432.0,499.0,430.0,A
235,JN110939.1,,,,1.0,,,,3.0,,,,,A
236,ADI-55984,54.0,1.0,,10.0,13.0,184.0,1.0,26.0,218.0,176.0,228.0,251.0,A
237,MN285480.1,,,,10.0,,,,15.0,5.0,4.0,2.0,3.0,A
